qid,query
1006728,"cerebral lobe, vision, occipital lobe, temporal lobe, visual recognition, processing information, brain functions, higher functions, cerebral cortex, object recognition, shape differentiation, brain hemispheres, cognitive abilities, sensory processing, neuroanatomy--cerebral lobe, brain, vision, temporal lobe, occipital lobe, visual recognition, processing information, cerebral cortex, higher function, lobes, creativity, artistic abilities, logic, rational thinking, brain waves, neurotransmitter, shapes, understanding, memory, damage, hemispheres--cerebral lobe, brain, vision, occipital lobe, visual processing, sight, sensory perception, neuroanatomy, brain function, visual cortex--cerebral lobe, brain, vision, occipital lobe, temporal lobe, visual recognition, processing information, shapes, higher function, damage, creativity, artistic abilities, logic, rational thinking, cerebral hemispheres, bodily functions--cerebral lobe, vision, temporal lobe, occipital lobe, visual recognition, brain waves, neurotransmitter serotonin, object recognition, higher functions, parietal lobe, speech, reading, occipital lobe damage, processing information, creativity, artistic abilities, logic, rational thinking, cerebral hemispheres, bodily functions"
1040198,"Florida Supreme Court, final arbiter, binding authority, state courts, federal courts, appeal, federal law, justices, decisions, District Courts of Appeal, circuit courts, original jurisdiction, legal authority, judicial hierarchy, state law, court system--Florida law, final arbiter, Florida Supreme Court, binding authority, federal law, state courts, appeal process, justices, District Courts of Appeal, circuit courts, original jurisdiction, legal authority, judicial decisions, court hierarchy, legal precedent--Florida law, final arbiter, state authority, judicial system, state courts, supreme court, legal jurisdiction, conflict resolution, legal interpretation, state constitution, appellate courts, legal precedent, authority hierarchy, governance, law enforcement--final arbiter, Florida law, binding authority, Florida Supreme Court, federal authority, appeal process, state courts, U.S. Supreme Court, questions of federal law, Florida justices, District Courts of Appeal, circuit courts, trial courts, original jurisdiction, legal authority--Florida Supreme Court, final arbiter, binding authority, state courts, federal courts, appeal, U.S. Supreme Court, questions of federal law, justices, District Courts of Appeal, circuit courts, trial courts, original jurisdiction, legal authority, judicial system, appellate process, state law interpretation, legal precedent"
1104300,"bryophyte, life cycle, gametophyte, sporophyte, dominant generation, nonvascular plants, vascular plants, liverworts, microspores, megaspores, algae, environmental conditions, determinant life cycles, evolution, plant stages, primitive plants, higher plants--bryophytes, life cycle, gametophyte, sporophyte, dominant generation, vascular plants, nonvascular plants, liverworts, environmental conditions, evolutionary advantages, microspores, megaspores, algae, germination, life cycle diagram, plant evolution, phases of life cycle, primitive plants, higher plants--bryophyte, life cycle, dominant stage, gametophyte, sporophyte, reproduction, plant biology, ecology, lifecycle stages, mosses, liverworts, hornworts, dominance, evolutionary biology, plant development--bryophyte life cycle, gametophyte generation, sporophyte generation, dominant phase, nonvascular plants, vascular plants, gametophyte dominance, sporophyte dominance, algae life cycle, environmental conditions, male gametophytes, female gametophytes, life cycle diagram, plant evolution, dominant generation, liverworts, microspores, megaspores, primitive plants, higher plants--bryophyte, life cycle, gametophyte, sporophyte, dominant phase, nonvascular plants, vascular plants, liverworts, microspores, megaspores, environmental conditions, algae, evolutionary shift, generation dominance, plant classification, primitive plants, higher plants"
1104447,"transform boundary, horizontal movement, tectonic plates, sliding plates, conservative boundary, plate tectonics, crust destruction, oceanic crust, continental collision, subduction zone, mid-ocean ridge, continental rift, tectonic activity, divergent boundary, convergent boundary--continental boundary, horizontal movement, tectonic plates, transform boundary, subduction zone, oceanic crust, continental rift, mid-ocean ridge, sliding plate boundary, convergent boundary, divergent boundary, tectonic activity, crust formation, plate tectonics, plate collision, conservative boundary--transform fault boundary, lateral fault, plate tectonics, horizontal motion, tectonic plates, geological boundaries, fault lines, seismic activity, continental drift, plate boundaries, Earth science, geophysical processes--continental boundary, transform boundary, horizontal movement, tectonic plates, sliding plate boundary, oceanic crust, subduction zones, convergent boundaries, divergent boundaries, tectonic activity, plate tectonics, continental collision, rift zones, mid-ocean ridges, crust creation, crust destruction--continental boundary, tectonic plates, horizontal movement, transform boundary, sliding plate boundary, subduction zone, oceanic crust, continental crust, convergent boundary, divergent boundary, plate tectonics, rift valley, mid-ocean ridge, crust destruction, crust formation, geological activity"
1107704,"single european currency, benefits, economic integration, euro, trade, exchange costs, exchange rate fluctuation, European Union, Maastricht Treaty, European Central Bank, global economy, member states, financial stability, monetary policy, economic decision, common currency, regional trade, currency exchange, historical context, European market--single european currency, benefits, euro, economic integration, trade, exchange costs, exchange rate risk, European Union, Maastricht Treaty, European Central Bank, globalization, financial stability, member states, currency exchange, market efficiency, economic cooperation--single european currency, main benefit, economic integration, currency stability, trade facilitation, price transparency, exchange rate risk, monetary policy, European Union, financial markets, inflation control, investment, consumer confidence, market efficiency, economic growth--benefits of single European currency, economic advantages of euro, European integration, trade enhancement, exchange cost elimination, exchange rate stability, Maastricht Treaty impact, European Central Bank role, global economic influence, member states advantages, common currency benefits, historical implementation of euro, single European market, participation in eurozone, financial cohesion in Europe--benefits, single European currency, euro, European integration, economic decision, trade, exchange costs, border transactions, exchange rate fluctuation, European Union, Maastricht Treaty, European Central Bank, ECB, common currency, global economy, member states, policies, implementation, history, participation"
1107821,"Radio Free Europe, Radio Liberty, RFE/RL, United States government, broadcasting organization, news, information, analysis, Eastern Europe, Central Asia, Caucasus, Middle East, free flow of information, National Committee for a Free Europe, anti-communist, CIA, Allen Dulles, 1949, Radio Farda, shortwave broadcasters, Radio Free Asia, political commentary, financing, Board for International Broadcasting, 1971, 1976.--Radio Free Europe, Radio Liberty, RFE/RL, United States government, broadcasting organization, news, information, analysis, Eastern Europe, Central Asia, Caucasus, Middle East, free flow of information, National Committee for a Free Europe, anti-communist, CIA, Allen Dulles, 1949, Radio Farda, Iranian branch, shortwave broadcasters, Radio Free Asia, political commentary, financing, operation, Board for International Broadcasting, merger, 1976--Radio Free Europe, history, Cold War, broadcasting, media, Eastern Europe, propaganda, information dissemination, journalism, US government, international relations, cultural influence, audience reach, news organization, political impact, freedom of speech.--Radio Free Europe, Radio Liberty, RFE/RL, United States government-funded organization, broadcasting, news, information, analysis, Eastern Europe, Central Asia, Caucasus, Middle East, free flow of information, National Committee for a Free Europe, anti-communist, CIA front organization, Allen Dulles, 1949, Radio Farda, Iranian branch, Radio Free Asia, political commentary, communist eastern Europe, Soviet Union, CIA involvement, financing, operation, Board for International Broadcasting, merger, 1976.--Radio Free Europe, Radio Liberty, RFE/RL, United States government, broadcasting organization, Eastern Europe, Central Asia, Caucasus, Middle East, free flow of information, National Committee for a Free Europe, anti-communist, CIA, shortwave radio, Radio Farda, Radio Free Asia, political commentary, 1950, financing, operation, Board for International Broadcasting, merger, 1976."
1109840,"OSH Act, Home Safety Act, Occupational Health Act, Workplace Safety Act, safety regulations, health regulations, private-sector industries, workplace safety, job safety law, Maryland Occupational Safety and Health Act, public sector, private sector, occupational safety, health conditions--OSH Act, Home Safety Act, Occupational Health Act, Workplace Safety Act, safety regulations, health regulations, private sector, public sector, workplace safety, job safety law, Maryland Occupational Safety and Health Act, safety conditions, health conditions, employer responsibilities, federal regulations, state regulations, industry standards, occupational health, workplace hazards, employee rights--occupational safety, health regulations, workplace safety, OSHA, private-sector compliance, labor laws, industry standards, employee health, safety legislation, risk management, safety protocols, health and safety administration, workplace conditions, industrial hygiene, safety training--OSH Act, Home Safety Act, Occupational Health Act, Workplace Safety Act, safety regulations, health conditions, private-sector industries, workplace safety, job safety law, Maryland Occupational Safety and Health Act, public sector, employer responsibilities, health and safety compliance, occupational health standards, workplace regulations--OSH Act, Home Safety Act, Occupational Health Act, Workplace Safety Act, safety regulations, private sector, public sector, workplace health, job safety law, Maryland Occupational Safety, health conditions, safety standards, industry regulations, employee protection, labor laws, safety compliance, health guidelines, workplace hazards, risk management, occupational health standards."
1110996,"T-tubules, skeletal muscle contraction, sarcolemma invagination, triad formation, smooth endoplasmic reticulum, renal tubule, urine production, proximal convoluted tubule, loop of Henle, distal convoluted tubule, collecting duct, microvilli, sensory cilia, hormone response, kidneys, reabsorption, sodium-dependent transporters, ketone bodies, sustentacular cells, seminiferous tubule--T-tubules, role, skeletal muscles, contraction, sarcolemma, triad, smooth endoplasmic reticulum, renal tubule, urine production, proximal convoluted tubule, loop of Henle, distal convoluted tubule, collecting duct, microvilli, sensory cilia, hormone response, kidneys, reabsorption, ketone bodies, sodium-dependent transporters--t tubules, function, cardiac muscle, skeletal muscle, action potential, excitation-contraction coupling, sarcoplasmic reticulum, muscle contraction, cell membrane, ion channels, electrical signals, transverse tubules, physiology, muscle fibers, calcium release, membrane structure--T-tubules, role in muscle contraction, transverse tubules, sarcolemma invagination, skeletal muscle triad, smooth endoplasmic reticulum, muscle fiber structure, calcium release, excitation-contraction coupling, action potential propagation, muscle physiology, tubular structures, renal tubule, urine production, proximal convoluted tubule, loop of Henle, distal convoluted tubule, collecting duct, renal function, sodium-dependent transporters, ketone body reabsorption, sustentacular cells, seminiferous tubule, sperm formation, microvilli, sensory cilia, hormone response.--T-tubules, sarcolemma, transverse tubules, skeletal muscle contraction, triad structure, renal tubule, proximal convoluted tubule, loop of Henle, distal convoluted tubule, collecting duct, urine production, renal collecting tubule, microvilli, sensory cilia, hormone response, hydrostatic pressure, seminiferous tubule, sustentacular cells, sperm formation, reabsorption, ketone bodies, sodium-dependent transporters."
1111577,"meaning, phrase, jump on the bandwagon, definition, idiom, expression, popular activity, bandwagon-jumping, campaign, safety issues, support, movement, bandwagon fallacy, logical fallacies, origin, phrases, join, trend, cultural significance, popularity--meaning, phrase, jump on the bandwagon, definition, idiom, expression, bandwagon-jumping, origin, campaign, safety issues, support, popularity, logical fallacies, bandwagon fallacy, activity, movement, increase, join, popular activity--meaning, phrase, jump on the bandwagon, idiom, expression, definition, usage, origin, synonyms, context, examples, popularity, trends, cultural significance, figurative language--meaning, phrase, jump on the bandwagon, join, popular activity, bandwagon-jumping, campaign, safety issues, support, movement, idioms, expression, origin, logical fallacies, bandwagon fallacy, gaining support, credibility--meaning, phrase, jump on the bandwagon, popular activity, bandwagon-jumping, campaign, safety issues, support, movement, expression, origin, idioms, logical fallacies, bandwagon fallacy, credibility, social influence"
1113361,"prior restraint, speech restriction, First Amendment, unconstitutional, exceptions, obscenity, national security, legal definition, government censorship, free speech, democracy, British Monarchy, publication, broadcast, classified documents, legal framework, historical context, censorship laws, free press, constitutional law--prior restraint, statutory prior restraints, permissible prior restraints, copyright infringement, First Amendment, speech restriction, unconstitutional, exceptions, obscenity, national security, free speech, free press, government restriction, classified documents, democracy, British Monarchy, constitutional law, legal definition, expression, speech review--prior restraint, censorship, First Amendment, freedom of speech, legal definition, media law, governmental control, press freedom, judicial review, constitutional law, free expression, speech limitations, legal precedent, case law, public interest--prior restraint, definition, First Amendment, unconstitutional, speech restriction, legal definition, statutory prior restraints, permissible prior restraints, copyright infringement, exceptions, obscenity, national security, government documents, free speech, democracy, British Monarchy, expression, constitutional law, free press, legal precedent, historical context--prior restraint, definition, First Amendment, speech restriction, unconstitutional, exceptions, obscenity, national security, legal implications, democracy, historical context, British Monarchy, free speech, censorship, government documents, statutory restraints, permissible restraints, copyright infringement, legal cases, expression rights"
